repository_name,type,event_date,total_events
BVLC/caffe,IssueCommentEvent,2017-07-02,1
BVLC/caffe,IssueCommentEvent,2016-08-28,1
BVLC/caffe,IssueCommentEvent,2017-08-13,1
BVLC/caffe,IssueCommentEvent,2017-01-28,1
BVLC/caffe,IssueCommentEvent,2018-06-20,1
BVLC/caffe,IssueCommentEvent,2018-06-23,1
BVLC/caffe,IssueCommentEvent,2018-05-20,1
BVLC/caffe,IssueCommentEvent,2018-02-17,1
BVLC/caffe,IssueCommentEvent,2018-02-03,1
BVLC/caffe,IssueCommentEvent,2017-10-01,1
BVLC/caffe,IssueCommentEvent,2018-06-17,1
BVLC/caffe,IssueCommentEvent,2017-12-25,1
BVLC/caffe,IssueCommentEvent,2018-04-15,1
BVLC/caffe,IssueCommentEvent,2017-09-10,1
BVLC/caffe,IssueCommentEvent,2018-05-06,1
BVLC/caffe,IssueCommentEvent,2018-05-09,1
BVLC/caffe,IssueCommentEvent,2017-10-08,1
BVLC/caffe,IssueCommentEvent,2018-04-21,1
BVLC/caffe,IssueCommentEvent,2018-06-24,1
BVLC/caffe,IssueCommentEvent,2016-08-21,1
BVLC/caffe,IssueCommentEvent,2017-05-28,1
BVLC/caffe,IssueCommentEvent,2018-06-04,1
BVLC/caffe,IssueCommentEvent,2018-05-14,1
BVLC/caffe,IssueCommentEvent,2017-06-23,1
BVLC/caffe,IssueCommentEvent,2018-06-10,1
BVLC/caffe,IssueCommentEvent,2018-02-11,1
BVLC/caffe,IssueCommentEvent,2017-11-19,1
BVLC/caffe,IssueCommentEvent,2017-12-02,1
BVLC/caffe,IssueCommentEvent,2017-12-23,1
BVLC/caffe,IssueCommentEvent,2018-02-25,1
BVLC/caffe,IssueCommentEvent,2017-10-29,1
BVLC/caffe,IssueCommentEvent,2017-07-16,1
BVLC/caffe,IssueCommentEvent,2017-10-05,1
BVLC/caffe,IssueCommentEvent,2017-06-17,1
BVLC/caffe,IssueCommentEvent,2017-09-22,1
BVLC/caffe,IssueCommentEvent,2016-10-29,1
BVLC/caffe,IssueCommentEvent,2015-06-28,1
BVLC/caffe,IssueCommentEvent,2017-02-18,1
BVLC/caffe,IssueCommentEvent,2018-03-18,1
BVLC/caffe,IssueCommentEvent,2018-03-04,1
BVLC/caffe,IssueCommentEvent,2016-12-31,1
BVLC/caffe,IssueCommentEvent,2018-01-02,1
BVLC/caffe,IssueCommentEvent,2017-12-03,1
BVLC/caffe,IssueCommentEvent,2016-07-17,2
BVLC/caffe,IssueCommentEvent,2018-04-29,2
BVLC/caffe,IssueCommentEvent,2015-05-02,2
BVLC/caffe,IssueCommentEvent,2018-06-18,2
BVLC/caffe,IssueCommentEvent,2018-06-19,2
BVLC/caffe,IssueCommentEvent,2017-02-27,2
BVLC/caffe,IssueCommentEvent,2018-06-05,2
BVLC/caffe,IssueCommentEvent,2018-05-21,2
BVLC/caffe,IssueCommentEvent,2018-04-30,2
BVLC/caffe,IssueCommentEvent,2018-06-30,2
BVLC/caffe,IssueCommentEvent,2018-02-24,2
BVLC/caffe,IssueCommentEvent,2017-11-18,2
BVLC/caffe,IssueCommentEvent,2018-05-11,2
BVLC/caffe,IssueCommentEvent,2018-01-06,2
BVLC/caffe,IssueCommentEvent,2017-10-22,2
BVLC/caffe,IssueCommentEvent,2018-05-02,2
BVLC/caffe,IssueCommentEvent,2016-10-16,2
BVLC/caffe,IssueCommentEvent,2017-12-31,2
BVLC/caffe,IssueCommentEvent,2018-03-12,2
BVLC/caffe,IssueCommentEvent,2016-12-25,2
BVLC/caffe,IssueCommentEvent,2017-09-21,2
BVLC/caffe,IssueCommentEvent,2018-05-17,2
BVLC/caffe,IssueCommentEvent,2015-04-07,2
BVLC/caffe,IssueCommentEvent,2017-12-10,2
BVLC/caffe,IssueCommentEvent,2015-12-06,2
BVLC/caffe,IssueCommentEvent,2018-01-30,2
BVLC/caffe,IssueCommentEvent,2018-04-18,2
BVLC/caffe,IssueCommentEvent,2017-11-15,2
BVLC/caffe,IssueCommentEvent,2017-09-17,2
BVLC/caffe,IssueCommentEvent,2018-04-25,2
BVLC/caffe,IssueCommentEvent,2015-02-08,2
BVLC/caffe,IssueCommentEvent,2017-12-17,2
BVLC/caffe,IssueCommentEvent,2017-10-06,2
BVLC/caffe,IssueCommentEvent,2015-12-25,2
BVLC/caffe,IssueCommentEvent,2018-05-30,2
BVLC/caffe,IssueCommentEvent,2018-01-01,2
BVLC/caffe,IssueCommentEvent,2015-07-25,2
BVLC/caffe,IssueCommentEvent,2017-07-08,2
BVLC/caffe,IssueCommentEvent,2017-08-26,2
BVLC/caffe,WatchEvent,2018-06-16,2
BVLC/caffe,IssueCommentEvent,2017-08-12,2
BVLC/caffe,IssueCommentEvent,2018-03-25,2
BVLC/caffe,IssueCommentEvent,2017-09-01,2
BVLC/caffe,IssueCommentEvent,2017-11-17,2
BVLC/caffe,IssueCommentEvent,2018-01-28,2
BVLC/caffe,WatchEvent,2018-05-05,2
BVLC/caffe,IssueCommentEvent,2017-06-18,2
BVLC/caffe,IssueCommentEvent,2017-07-09,2
BVLC/caffe,IssueCommentEvent,2018-05-12,2
BVLC/caffe,IssueCommentEvent,2016-12-17,2
BVLC/caffe,IssueCommentEvent,2017-04-01,2
BVLC/caffe,IssueCommentEvent,2017-01-31,2
BVLC/caffe,IssueCommentEvent,2018-05-24,2
BVLC/caffe,IssueCommentEvent,2018-03-24,2
BVLC/caffe,IssueCommentEvent,2018-05-05,2
BVLC/caffe,IssueCommentEvent,2017-06-24,2
BVLC/caffe,IssueCommentEvent,2017-10-07,2
BVLC/caffe,IssueCommentEvent,2017-08-11,2
BVLC/caffe,IssueCommentEvent,2017-10-21,2
BVLC/caffe,IssueCommentEvent,2018-01-04,2
BVLC/caffe,IssueCommentEvent,2017-12-16,2
BVLC/caffe,IssueCommentEvent,2016-11-05,3
BVLC/caffe,IssueCommentEvent,2017-05-14,3
BVLC/caffe,IssueCommentEvent,2016-08-27,3
BVLC/caffe,IssueCommentEvent,2017-05-20,3
BVLC/caffe,IssueCommentEvent,2015-12-13,3
BVLC/caffe,IssueCommentEvent,2017-10-15,3
BVLC/caffe,IssueCommentEvent,2017-12-09,3
BVLC/caffe,IssueCommentEvent,2016-11-03,3
BVLC/caffe,IssueCommentEvent,2017-06-27,3
BVLC/caffe,IssueCommentEvent,2017-06-10,3
BVLC/caffe,IssueCommentEvent,2017-08-19,3
BVLC/caffe,IssueCommentEvent,2018-01-20,3
BVLC/caffe,IssueCommentEvent,2017-09-09,3
BVLC/caffe,IssueCommentEvent,2017-07-23,3
BVLC/caffe,IssueCommentEvent,2016-07-09,3
BVLC/caffe,IssueCommentEvent,2017-11-16,3
BVLC/caffe,IssueCommentEvent,2017-01-01,3
